Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2022-2023

"SCOPE","AGGREGATION LEVEL","YEAR","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","DISTRICT NUMBER","DISTRICT NAME","REGION","COUNTY NUMBER","COUNTY NAME","ALL ENROLLMENT","AT RISK","BILINGUAL","DYSLEXIC","ECONOMICALLY DISADVANTAGED","EMERGENT BILINGUAL/ENGLISH LEARNER","ESL","FOSTER CARE","GIFTED & TALENTED","HOMELESS","MILITARY CONNECTED","SECTION 504","SPECIAL EDUCATION","TITLE I"
"STATE","CAMPUS","2022-2023",101810002,"ACADEMY OF ACCELERATED LEARNING","ELEMENTARY",101810,"ACADEMY OF ACCELERATED LEARNING INC",04,101,"HARRIS COUNTY",850,571,205,-999,802,537,331,0,0,23,0,13,20,850
"STATE","CAMPUS","2022-2023",015910008,"ACADEMY OF CREATIVE ED","HIGH SCHOOL",015910,"NORTH EAST ISD",20,015,"BEXAR COUNTY",114,114,-999,-999,71,11,-999,0,-999,-999,-999,41,-999,-999
"STATE","CAMPUS","2022-2023",057810101,"ACADEMY OF DALLAS","ELEMENTARY",057810,"ACADEMY OF DALLAS",10,057,"DALLAS COUNTY",269,227,0,-999,252,25,25,0,0,0,0,0,42,269
"STATE","CAMPUS","2022-2023",101849041,"ACCELERATED INT CHARTER SCHOOL","JUNIOR HIGH SCHOOL",101849,"ACCELERATED INTERMEDIATE ACADEMY",04,101,"HARRIS COUNTY",11,-999,0,0,11,-999,-999,0,0,0,0,0,0,11
"STATE","CAMPUS","2022-2023",101849101,"ACCELERATED INTERDISCIPLINARY ACAD","ELEMENTARY",101849,"ACCELERATED INTERMEDIATE ACADEMY",04,101,"HARRIS COUNTY",127,-999,0,0,111,-999,-999,0,0,0,0,0,-999,127
"STATE","CAMPUS","2022-2023",043914004,"ACHIEVE ACADEMY","ELEMENTARY / SECONDARY",043914,"WYLIE ISD",10,043,"COLLIN COUNTY","<130",119,-999,12,-999,20,19,0,-999,-999,-999,33,27,127
"STATE","CAMPUS","2022-2023",108906011,"ACHIEVE EARLY COLLEGE H S","HIGH SCHOOL",108906,"MCALLEN ISD",01,108,"HIDALGO COUNTY",411,150,0,10,285,74,60,0,65,-999,-999,18,21,411
"STATE","CAMPUS","2022-2023",057914132,"ACHZIGER EL","ELEMENTARY",057914,"MESQUITE ISD",10,057,"DALLAS COUNTY",846,512,262,95,638,341,46,-999,30,-999,37,73,143,846
"STATE","CAMPUS","2022-2023",111901102,"ACTON EL","ELEMENTARY",111901,"GRANBURY ISD",11,111,"HOOD COUNTY",814,259,0,64,392,32,31,0,57,-999,12,87,108,814
"STATE","CAMPUS","2022-2023",111901042,"ACTON MIDDLE","MIDDLE SCHOOL",111901,"GRANBURY ISD",11,111,"HOOD COUNTY",981,301,0,116,426,76,72,0,143,10,26,150,134,981
"STATE","CAMPUS","2022-2023",126903107,"AD WHEAT MIDDLE","MIDDLE SCHOOL",126903,"CLEBURNE ISD",11,126,"JOHNSON COUNTY",703,438,0,78,533,162,120,-999,48,23,13,89,102,703
"STATE","CAMPUS","2022-2023",246913102,"ADA MAE FAUBION EL","ELEMENTARY",246913,"LEANDER ISD",13,246,"WILLIAMSON COUNTY",402,248,49,14,158,103,54,0,41,-999,-999,16,91,393
"STATE","CAMPUS","2022-2023",101907107,"ADAM EL","ELEMENTARY",101907,"CYPRESS-FAIRBANKS ISD",04,101,"HARRIS COUNTY",818,471,72,30,567,210,87,-999,23,11,38,22,147,818
"STATE","CAMPUS","2022-2023",126903101,"ADAMS EL","ELEMENTARY",126903,"CLEBURNE ISD",11,126,"JOHNSON COUNTY",431,185,0,15,328,62,59,0,31,17,-999,25,-999,431
"STATE","CAMPUS","2022-2023",220901161,"ADAMS EL","ELEMENTARY",220901,"ARLINGTON ISD",11,220,"TARRANT COUNTY",803,596,197,-999,725,355,140,0,74,23,-999,11,71,803
"STATE","CAMPUS","2022-2023",015915123,"ADAMS HILL EL","ELEMENTARY",015915,"NORTHSIDE ISD",20,015,"BEXAR COUNTY",501,311,-999,-999,434,35,11,0,26,-999,26,30,94,501
"STATE","CAMPUS","2022-2023",101914056,"ADAMS J H","MIDDLE SCHOOL",101914,"KATY ISD",04,101,"HARRIS COUNTY",1761,372,0,136,220,196,182,-999,309,-999,60,126,195,-999
"STATE","CAMPUS","2022-2023",125901043,"ADAMS MIDDLE","MIDDLE SCHOOL",125901,"ALICE ISD",02,125,"JIM WELLS COUNTY",1029,684,0,73,867,17,13,-999,25,29,10,131,160,1029
"STATE","CAMPUS","2022-2023",057905247,"ADELFA BOTELLO CALLEJO EL","ELEMENTARY",057905,"DALLAS ISD",10,057,"DALLAS COUNTY",542,336,278,35,519,297,0,-999,74,-999,0,11,81,542
"STATE","CAMPUS","2022-2023",057905219,"ADELLE TURNER EL","ELEMENTARY",057905,"DALLAS ISD",10,057,"DALLAS COUNTY",285,72,0,-999,248,11,0,-999,29,10,-999,-999,35,285
"STATE","CAMPUS","2022-2023",178904057,"ADKINS MIDDLE","MIDDLE SCHOOL",178904,"CORPUS CHRISTI ISD",02,178,"NUECES COUNTY",956,687,0,38,457,46,29,0,0,10,41,90,91,956
"STATE","CAMPUS","2022-2023",180903001,"ADRIAN SCHOOL","ELEMENTARY / SECONDARY",180903,"ADRIAN ISD",16,180,"OLDHAM COUNTY",120,66,0,24,78,-999,-999,0,-999,0,-999,21,20,120
"STATE","CAMPUS","2022-2023",227909005,"ADULT TRANSITION SERVICES","HIGH SCHOOL",227909,"EANES ISD",13,227,"TRAVIS COUNTY",22,-999,0,-999,-999,0,0,0,0,0,-999,0,22,0
"STATE","CAMPUS","2022-2023",015907026,"ADVANCED LEARNING ACADEMY","ELEMENTARY / SECONDARY",015907,"SAN ANTONIO ISD",20,015,"BEXAR COUNTY",1047,464,0,81,534,62,45,0,283,-999,79,90,158,1047
"STATE","CAMPUS","2022-2023",057806101,"ADVANTAGE ACADEMY","ELEMENTARY / SECONDARY",057806,"ADVANTAGE ACADEMY",10,057,"DALLAS COUNTY",1012,746,0,28,893,245,234,-999,18,28,-999,34,92,1012
"STATE","CAMPUS","2022-2023",014906022,"ADVENTHEALTH SCHOOL","ELEMENTARY / SECONDARY",014906,"KILLEEN ISD",12,014,"BELL COUNTY","<20",-999,0,0,-999,0,0,0,0,-999,-999,0,-999,0
"STATE","CAMPUS","2022-2023",015907117,"AGNES COTTON ACADEMY","ELEMENTARY",015907,"SAN ANTONIO ISD",20,015,"BEXAR COUNTY",482,311,128,-999,435,137,13,-999,24,18,10,16,50,482
"STATE","CAMPUS","2022-2023",057914041,"AGNEW MIDDLE","MIDDLE SCHOOL",057914,"MESQUITE ISD",10,057,"DALLAS COUNTY",1132,818,0,119,925,331,288,-999,146,29,37,135,170,1132
"STATE","CAMPUS","2022-2023",178901101,"AGUA DULCE EL","ELEMENTARY",178901,"AGUA DULCE ISD",02,178,"NUECES COUNTY",171,44,0,-999,135,-999,-999,0,-999,0,-999,-999,15,171
"STATE","CAMPUS","2022-2023",178901001,"AGUA DULCE H S","ELEMENTARY / SECONDARY",178901,"AGUA DULCE ISD",02,178,"NUECES COUNTY",237,168,0,-999,177,-999,-999,0,-999,-999,-999,-999,19,237
"STATE","CAMPUS","2022-2023",101905043,"AGUIRRE J H","MIDDLE SCHOOL",101905,"CHANNELVIEW ISD",04,101,"HARRIS COUNTY",975,667,0,47,740,424,377,0,51,-999,0,41,126,975
"STATE","CAMPUS","2022-2023",108909113,"AIDA C ESCOBAR EL","ELEMENTARY",108909,"PHARR-SAN JUAN-ALAMO ISD",01,108,"HIDALGO COUNTY",673,596,333,11,609,333,0,-999,44,0,-999,-999,65,673
"STATE","CAMPUS","2022-2023",031901133,"AIKEN EL","ELEMENTARY",031901,"BROWNSVILLE ISD",01,031,"CAMERON COUNTY",570,461,294,22,560,307,-999,0,14,27,-999,29,80,570
"STATE","CAMPUS","2022-2023",057916135,"AIKIN EL","ELEMENTARY",057916,"RICHARDSON ISD",10,057,"DALLAS COUNTY",474,395,-999,26,422,288,240,12,17,12,10,20,60,474
"STATE","CAMPUS","2022-2023",139909109,"AIKIN EL","ELEMENTARY",139909,"PARIS ISD",08,139,"LAMAR COUNTY",937,595,0,69,695,59,50,0,87,-999,-999,126,131,937
"STATE","CAMPUS","2022-2023",059901101,"AIKMAN EL","ELEMENTARY",059901,"HEREFORD ISD",16,059,"DEAF SMITH COUNTY",378,250,-999,-999,347,111,32,-999,-999,-999,13,-999,48,378
"STATE","CAMPUS","2022-2023",084902007,"AIM COLLEGE & CAREER PREP","HIGH SCHOOL",084902,"GALVESTON ISD",04,084,"GALVESTON COUNTY","<90",89,0,-999,-999,11,-999,0,-999,10,0,-999,12,-999
"STATE","CAMPUS","2022-2023",108913110,"AIRPORT EL","ELEMENTARY",108913,"WESLACO ISD",01,108,"HIDALGO COUNTY",792,676,403,53,684,200,0,-999,23,-999,-999,26,101,792
"STATE","CAMPUS","2022-2023",095903102,"AKIN EL","ELEMENTARY",095903,"HALE CENTER ISD",17,095,"HALE COUNTY",248,118,0,-999,199,21,21,-999,0,0,0,-999,23,248
"STATE","CAMPUS","2022-2023",227901017,"AKINS H S","HIGH SCHOOL",227901,"AUSTIN ISD",13,227,"TRAVIS COUNTY",2613,1703,18,205,1594,796,562,0,250,32,0,294,377,2613
"STATE","CAMPUS","2022-2023",101911101,"ALAMO EL","ELEMENTARY",101911,"GOOSE CREEK CISD",04,101,"HARRIS COUNTY",788,461,284,35,623,262,-999,0,42,10,-999,29,108,788
"STATE","CAMPUS","2022-2023",015901001,"ALAMO HEIGHTS H S","HIGH SCHOOL",015901,"ALAMO HEIGHTS ISD",20,015,"BEXAR COUNTY",1606,400,0,137,278,57,56,-999,407,-999,117,350,142,0
"STATE","CAMPUS","2022-2023",015901041,"ALAMO HEIGHTS J H","MIDDLE SCHOOL",015901,"ALAMO HEIGHTS ISD",20,015,"BEXAR COUNTY",1090,301,163,76,267,83,35,-999,327,-999,53,170,100,0
"STATE","CAMPUS","2022-2023",165901041,"ALAMO J H","JUNIOR HIGH SCHOOL",165901,"MIDLAND ISD",18,165,"MIDLAND COUNTY",865,549,0,53,541,193,182,0,33,-999,11,51,72,865
"STATE","CAMPUS","2022-2023",070903044,"ALAMO MIDDLE","MIDDLE SCHOOL",070903,"ENNIS ISD",10,070,"ELLIS COUNTY",414,205,0,50,305,78,78,0,54,0,-999,61,56,307
"STATE","CAMPUS","2022-2023",108909042,"ALAMO MIDDLE","MIDDLE SCHOOL",108909,"PHARR-SAN JUAN-ALAMO ISD",01,108,"HIDALGO COUNTY",698,580,165,26,658,402,238,-999,47,-999,-999,67,93,698
"STATE","CAMPUS","2022-2023",015908042,"ALAN B SHEPARD MIDDLE","MIDDLE SCHOOL",015908,"SOUTH SAN ANTONIO ISD",20,015,"BEXAR COUNTY",519,442,-999,36,492,112,102,-999,34,-999,-999,39,102,519
"STATE","CAMPUS","2022-2023",250906101,"ALBA-GOLDEN EL","ELEMENTARY",250906,"ALBA-GOLDEN ISD",07,250,"WOOD COUNTY","<410",-999,0,-999,256,-999,-999,0,19,15,0,-999,63,-999
"STATE","CAMPUS","2022-2023",250906001,"ALBA-GOLDEN H S","ELEMENTARY / SECONDARY",250906,"ALBA-GOLDEN ISD",07,250,"WOOD COUNTY",414,216,0,39,-999,-999,-999,0,31,-999,-999,63,-999,414
"STATE","CAMPUS","2022-2023",209901001,"ALBANY JR-SR H S","HIGH SCHOOL",209901,"ALBANY ISD",14,209,"SHACKELFORD COUNTY",235,107,0,15,87,0,0,-999,-999,-999,-999,33,27,235
"STATE","CAMPUS","2022-2023",043907118,"ALBERT & IOLA LEE DAVIS MALVERN EL","ELEMENTARY",043907,"MCKINNEY ISD",10,043,"COLLIN COUNTY",441,267,133,20,352,154,21,-999,12,12,10,22,88,441
"STATE","CAMPUS","2022-2023",116903104,"ALBERT C WILLIAMS EL","ELEMENTARY",116903,"COMMERCE ISD",10,116,"HUNT COUNTY",321,181,0,58,249,51,27,-999,22,-999,-999,-999,79,321
"STATE","CAMPUS","2022-2023",214901104,"ALBERTO AND CELIA BARRERA EL","ELEMENTARY",214901,"RIO GRANDE CITY GRULLA ISD",01,214,"STARR COUNTY",454,383,444,-999,451,371,0,-999,50,10,-999,19,40,454
"STATE","CAMPUS","2022-2023",101903045,"ALBRIGHT MIDDLE","JUNIOR HIGH SCHOOL",101903,"ALIEF ISD",04,101,"HARRIS COUNTY",1058,856,0,49,857,376,375,-999,129,37,-999,42,115,1058
"STATE","CAMPUS","2022-2023",221901112,"ALCORTA EL","ELEMENTARY",221901,"ABILENE ISD",14,221,"TAYLOR COUNTY",451,275,0,21,317,-999,-999,-999,49,22,19,23,61,451
"STATE","CAMPUS","2022-2023",101912102,"ALCOTT EL","ELEMENTARY",101912,"HOUSTON ISD",04,101,"HARRIS COUNTY",192,103,-999,-999,191,41,13,0,0,24,0,-999,20,192
"STATE","CAMPUS","2022-2023",152901194,"ALDERSON EL","ELEMENTARY",152901,"LUBBOCK ISD",17,152,"LUBBOCK COUNTY",439,428,0,33,436,-999,-999,0,10,13,-999,23,92,439
"STATE","CAMPUS","2022-2023",101902001,"ALDINE H S","HIGH SCHOOL",101902,"ALDINE ISD",04,101,"HARRIS COUNTY",2663,2252,0,176,2508,1140,646,11,98,16,-999,165,194,2663
"STATE","CAMPUS","2022-2023",101902041,"ALDINE MIDDLE","MIDDLE SCHOOL",101902,"ALDINE ISD",04,101,"HARRIS COUNTY",785,694,0,82,713,396,265,-999,29,0,-999,65,97,785
"STATE","CAMPUS","2022-2023",043910106,"ALDRIDGE EL","ELEMENTARY",043910,"PLANO ISD",10,043,"COLLIN COUNTY",458,167,0,17,98,79,71,0,37,-999,0,26,58,0
"STATE","CAMPUS","2022-2023",184907001,"ALEDO H S","HIGH SCHOOL",184907,"ALEDO ISD",11,184,"PARKER COUNTY",1622,391,0,132,223,31,31,0,127,-999,169,267,110,-999
"STATE","CAMPUS","2022-2023",184907041,"ALEDO MIDDLE","MIDDLE SCHOOL",184907,"ALEDO ISD",11,184,"PARKER COUNTY",944,223,0,124,108,16,16,-999,84,-999,136,153,92,-999
"STATE","CAMPUS","2022-2023",057905206,"ALEX SANGER PREPARATORY SCHOOL","ELEMENTARY",057905,"DALLAS ISD",10,057,"DALLAS COUNTY",766,401,375,43,510,335,104,-999,204,15,-999,49,56,766
"STATE","CAMPUS","2022-2023",057905058,"ALEX W SPENCE TALENTED/GIFTED ACADEMY","MIDDLE SCHOOL",057905,"DALLAS ISD",10,057,"DALLAS COUNTY",599,436,-999,50,503,258,237,-999,211,31,-999,46,56,599
"STATE","CAMPUS","2022-2023",101903114,"ALEXANDER EL","ELEMENTARY",101903,"ALIEF ISD",04,101,"HARRIS COUNTY",676,551,285,28,601,451,99,-999,24,34,-999,18,102,676
"STATE","CAMPUS","2022-2023",020908115,"ALEXANDER MIDDLE","MIDDLE SCHOOL",020908,"PEARLAND ISD",04,020,"BRAZORIA COUNTY",747,250,0,72,253,43,23,0,58,-999,94,98,109,-999
"STATE","CAMPUS","2022-2023",071904104,"ALFONSO BORREGO SR EL","ELEMENTARY",071904,"SAN ELIZARIO ISD",19,071,"EL PASO COUNTY",472,383,280,20,430,319,0,0,39,-999,11,27,79,472
"STATE","CAMPUS","2022-2023",108904129,"ALFONSO RAMIREZ EL","ELEMENTARY",108904,"EDINBURG CISD",01,108,"HIDALGO COUNTY",681,323,135,12,413,154,12,0,52,0,16,22,40,681
"STATE","CAMPUS","2022-2023",108909112,"ALFRED SORENSEN EL","ELEMENTARY",108909,"PHARR-SAN JUAN-ALAMO ISD",01,108,"HIDALGO COUNTY",616,483,213,21,512,232,0,0,34,0,-999,16,45,616
"STATE","CAMPUS","2022-2023",220905101,"ALICE CARLSON APPLIED LRN CTR","ELEMENTARY",220905,"FORT WORTH ISD",11,220,"TARRANT COUNTY",362,178,0,19,109,18,10,-999,67,-999,28,21,39,0
"STATE","CAMPUS","2022-2023",220905220,"ALICE D CONTRERAS","ELEMENTARY",220905,"FORT WORTH ISD",11,220,"TARRANT COUNTY",494,414,227,31,458,265,-999,0,28,12,10,26,56,494
"STATE","CAMPUS","2022-2023",125901001,"ALICE H S","HIGH SCHOOL",125901,"ALICE ISD",02,125,"JIM WELLS COUNTY",1290,896,0,107,993,37,31,-999,56,31,24,185,134,1290
"STATE","CAMPUS","2022-2023",101905041,"ALICE JOHNSON J H","MIDDLE SCHOOL",101905,"CHANNELVIEW ISD",04,101,"HARRIS COUNTY",1189,860,-999,59,914,552,502,0,39,-999,10,48,179,1189
"STATE","CAMPUS","2022-2023",061901104,"ALICE MOORE ALEXANDER","ELEMENTARY",061901,"DENTON ISD",11,061,"DENTON COUNTY",599,382,213,19,437,256,45,-999,43,-999,-999,38,93,599
"STATE","CAMPUS","2022-2023",220908101,"ALICE PONDER EL","ELEMENTARY",220908,"MANSFIELD ISD",11,220,"TARRANT COUNTY",622,406,222,15,437,273,49,-999,15,0,22,15,90,622
"STATE","CAMPUS","2022-2023",014906140,"ALICE W DOUSE EL","ELEMENTARY",014906,"KILLEEN ISD",12,014,"BELL COUNTY",970,383,0,37,478,84,50,-999,15,-999,570,65,128,970
"STATE","CAMPUS","2022-2023",071905138,"ALICIA R CHACON INTERNATIONAL","ELEMENTARY",071905,"YSLETA ISD",19,071,"EL PASO COUNTY",829,600,829,11,542,489,0,-999,64,0,40,31,48,829
"STATE","CAMPUS","2022-2023",101903012,"ALIEF EARLY COLLEGE H S","HIGH SCHOOL",101903,"ALIEF ISD",04,101,"HARRIS COUNTY",407,319,0,-999,329,25,25,0,98,-999,-999,12,-999,407
"STATE","CAMPUS","2022-2023",101903047,"ALIEF ISD J J A E P","ELEMENTARY / SECONDARY",101903,"ALIEF ISD",04,101,"HARRIS COUNTY","<20",-999,-999,-999,-999,-999,-999,0,0,0,0,0,-999,-999
"STATE","CAMPUS","2022-2023",101903005,"ALIEF LEARNING CTR (6-12)","ELEMENTARY / SECONDARY",101903,"ALIEF ISD",04,101,"HARRIS COUNTY",138,138,-999,-999,124,71,48,0,0,-999,0,-999,19,138
"STATE","CAMPUS","2022-2023",101903205,"ALIEF LEARNING CTR (K-6)","ELEMENTARY",101903,"ALIEF ISD",04,101,"HARRIS COUNTY","<10",-999,-999,0,-999,-999,-999,0,0,0,0,0,-999,-999
"STATE","CAMPUS","2022-2023",101903041,"ALIEF MIDDLE","MIDDLE SCHOOL",101903,"ALIEF ISD",04,101,"HARRIS COUNTY",839,772,52,39,729,577,472,0,36,18,-999,29,114,839
"STATE","CAMPUS","2022-2023",101815101,"ALIEF MONTESSORI COMMUNITY SCHOOL","ELEMENTARY",101815,"ALIEF MONTESSORI COMMUNITY SCHOOL",04,101,"HARRIS COUNTY",370,286,0,10,303,273,273,0,0,0,0,-999,23,370
